Plot,Date Collected,Species,Sex,Weight (g),Notes
1,20130716,DM,M,null,
1,20131210,DO,M,45,
1,20140109,DM,M,40,
1,20140109,DM,F,36,
1,20140313,DM,F,51,
1,20140313,DM,F,44,
1,20140313,DS,F,146,
2,20130716,DM,F,null,
2,20140108,NA,null,null,
2,20140108,DM,M,44,
2,20140108,PF,F,7,
2,20140108,DM,M,45,
2,20140108,OT,null,null,
2,20140108,DS,M,157,scale not calibrated
2,20140108,OX,null,null,
2,20140218,NA,M,218,scale not calibrated
2,20140218,PF,F,7,
2,20140218,DM,M,52,
3,20130716,DM,M,null,
3,20130718,DM,M,40,
3,20131017,DO,F,33,
3,20131017,DO,F,50,
3,20140311,PF,M,8,
3,20140408,NA,F,null,
3,20140506,null,null,null,
3,20140518,NA,F,182,
3,20140609,OT,F,29,
3,20140708,NA,F,115,
3,20140708,NA,M,190,
4,19780108,DM,F,37,
4,19780108,DM,M,null,
4,19780108,DM,F,48,
4,19780108,DO,M,52,
4,19780108,OL,M,35,
4,20130718,DM,F,29,
4,20131113,DS,F,107,
4,20131113,DS,F,115,
6,20130718,DM,F,37,
7,20130716,DM,M,33,
7,20130718,DM,M,48,
8,20130819,DO,F,52,
8,20131211,DO,F,41,
9,20131112,DS,F,117,
9,20131210,DO,F,40,
11,20131113,DS,F,126,
11,20131113,DS,F,122,
14,20131113,DS,F,113,scale not calibrated
17,20131113,DS,M,132,scale not calibrated
